WellNo,County,CoName,Hole,SideTrck,Completion,Well_Typ,Field,Wl_Status,Well_Nm,town,Prod Form
0,Allegany,Bull Dog Oil,64606,00,00,OD,Richburg,PA,Maple Oil 4,Bolivar,Richburg
0,Chautauqua,"Stedman Energy, Inc.",12580,00,00,Oil,Lakeshore,AC,NYSRA 4-4,Harmony,Medina
0,Allegany,"Simon of Bolivar Enterprises, Inc.",63607,00,00,OD,Richburg,AC,Wheeler 40 (P40),Bolivar,Richburg
0,Cayuga,Minard Run Oil Company,20461,00,00,Oil,West Auburn,AC,O'Hara (406-4),Aurelius,Queenston
0,Chautauqua,"Empire Energy E & P, LLC",11488,00,00,Oil,Lakeshore,AC,Zook 276,Chautauqua,Medina
0,Chautauqua,"Chautauqua Energy, Inc.",17968,00,00,Oil,Lakeshore,NR,R. Dickerson 3,Westfield,Medina
0,Cattaraugus,"East Resources, Inc.",13067,00,00,IW,Bradford,PA,Enterprise Transit St 085,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Erie,"Frey Well Drilling, Inc.",13316,00,00,Oil,Alden-Lancaster,AC,Snyder 1,Alden,Medina
0,Chautauqua,PPP Future Development Inc.,12286,00,00,Oil,Lakeshore,IN,Beldon 449,Arkwright,Medina
0,Cattaraugus,"Stephan, Philip D.",63652,00,00,OD,Chipmunk,IN,Pfeiffer 31,Allegany,Chipmunk
0,Cattaraugus,"McCracken, Carl A. III",55100,00,00,OD,Bradford,PA,McCray 1,Carrollton,Bradford
0,Allegany,Moose Oil Co.,62176,00,00,OD,Richburg,PA,Bradensbrook 11,Bolivar,Waugh & Porter
0,Genesee,United States Gypsum Company,17582,00,00,Oil,Huron Creek,AC,Konfederath 2,Darien,Medina
0,Allegany,SK Enterprises,15057,00,00,OD,Richburg,IN,Starr 2,Bolivar,Richburg
0,Erie,"Wanamaker, Raymond & Aletha",04206,00,00,GW,Glenwood,UL,Wanamaker Ray 1,Holland,Medina
0,Erie,"Empire Energy E & P, LLC",22302,00,00,Oil,Brant-Eden,AC,Catalano L 1,Brant,Medina
0,Cayuga,Minard Run Oil Company,20508,00,00,Oil,West Auburn,AC,Staehr 802-4,Springport,Queenston
0,Oswego,Sandy Creek Oil & Gas,02485,00,00,NL,Sandy Creek,UL,Hollis H Robbins 5,Sandy Creek,Not Applicable
0,Allegany,Moore Producing Co.,69613,00,00,OD,Not Applicable,PA,Curtis Farm 830(G),Bolivar,Not Applicable
0,Allegany,PPP Future Development Inc.,22493,00,00,OD,Fulmer Valley,AC,"Wormley, F 3",Andover,Fulmer Valley
0,Chautauqua,Appalachian Development Corporation,00255,00,00,Oil,Lakeshore,UM,Howell Warren S 1,Portland,Medina
0,Chautauqua,PPP Future Development Inc.,20152,00,00,Oil,Lakeshore,AC,Gertrude 1,Ellington,Medina
0,Wayne,"Norris, Robert E. III",05041,00,00,GW,Butler Creek,AC,Reed 1,Butler,Trenton
0,Allegany,"Saint John Exploration & Production, Inc.",63959,00,00,OD,Richburg,IN,Trio Farm 74,Bolivar,Richburg
0,Chautauqua,"Empire Energy E & P, LLC",19898,00,00,Oil,Lakeshore,AC,"Carlson, L 1",Poland,Medina
0,Allegany,Francis Root Oil Company,15052,00,00,OD,Richburg,IN,White Farm F-1,Alma,Richburg
0,Erie,"Empire Energy E & P, LLC",13338,00,00,Oil,Glenwood,AC,Brant 1784-I,Colden,Medina
0,Allegany,"C.O.G. Development & Resources, Inc.",65230,00,00,OD,Richburg,IN,Lincoln l7,Bolivar,Richburg
0,Cattaraugus,"Carls, Kevin D",64877,00,00,OD,Bradford,PA,Wilson 22,Allegany,Bradford Third
0,Chautauqua,PPP Future Development Inc.,18215,00,00,Oil,Lakeshore,AC,Abbey 3,Ellington,Medina
0,Genesee,"Harris, William H. Jr.",04479,00,00,Oil,Uhley Corners-Caledonia,AC,Harris 1,Pavilion,Medina
0,Cattaraugus,BDH Oil Inc.,65037,00,00,OD,Chipmunk,UL,Nichols Run Ew-10,Allegany,Chipmunk & Bradford 2nd
0,Allegany,Moore Producing Co.,69546,00,00,IW,Not Applicable,PA,Curtis Farm 29,Bolivar,Not Applicable
0,Onondaga,Meridian Gas Co.,02372,00,00,Oil,Baldwinsville,UM,Upson 2,Lysander,Trenton
0,Albany,Corona Typewriter,01072,00,00,NL,Not Applicable,UN,Finch 1,Knox,Not Applicable
0,Chautauqua,"Johnson, Mark & Troy",11303,00,00,OD,Busti,AC,Eckstrom 1a,Busti,Glade
0,Chautauqua,"Decker, James K. & Tiffany J.",09169,00,00,OD,Busti,IN,Muntz-Angle 9,Busti,Glade
0,Erie,Iroquois Gas Corp.,03676,00,00,Oil,Orchard Park-Hamburg,PA,Gardner 1 IGC-256,Orchard Park,Medina
0,Allegany,Moose Oil Co.,61019,00,00,OD,Richburg,PA,Myrtle k2,Bolivar,Richburg
0,Cattaraugus,M. J. McCaffery Oil Co.,62215,00,00,OD,Chipmunk,NR,Roggenbaum 6,Carrollton,Chipmunk
0,Allegany,"Allegro Oil & Gas, Inc.",69642,00,00,OD,Not Applicable,UL,Krampf 864(G),Genesee,Not Applicable
0,Tioga,Broome-Tioga Corp.,00801,00,00,DW,Not Applicable,UN,Kemp C,Owego,Not Applicable
0,Chautauqua,PPP Future Development Inc.,12496,00,00,Oil,Lakeshore,AC,Smallback NY 37,Cherry Creek,Grimsby
0,Allegany,Klein Oil & Logging,08032,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 30,Independence,Fulmer Valley
0,Chautauqua,"Curtis & Son Oil, Inc.",11759,00,00,OD,Busti,AC,L. Crandall 23,Busti,Glade
0,Genesee,Lenape Resources LLC,20592,00,00,Oil,Bethany,AC,Steele & Neubarth 1 (6817),Bethany,Medina
0,Chautauqua,"Harp, Stephen J.",01480,00,00,Oil,Lakeshore,AC,Sullivan J.A. 2 2027-I,Pomfret,Medina
0,Chautauqua,PPP Future Development Inc.,23379,00,00,Oil,Lakeshore,AC,Russell J 2,Kiantone,Medina
0,Allegany,Helmhold Oil Incorporated,55213,00,00,OD,Fulmer Valley,NR,Roeske Lot 75 36,Wellsville,Fulmer Valley
0,Erie,"Empire Energy E & P, LLC",18743,00,00,Oil,Concord,AC,Greenburg 1,Concord,Medina
0,Chautauqua,"Empire Energy E & P, LLC",20902,00,00,Oil,Sprague Hill,AC,"Bloomquist, A 7327",Poland,Medina
0,Livingston,NY Central Gas,02203,00,00,DW,Not Applicable,UM,Whitemore,Avon,Not Applicable
0,Seneca,Minard Run Oil Company,19597,00,00,Oil,Fayette-Waterloo,AC,Guilfoos 1 (4142),Varick,Queenston
0,Allegany,"Saint John Exploration & Production, Inc.",67543,00,00,OD,Richburg,IN,Big Four 10,Bolivar,Richburg
0,Chautauqua,"Empire Energy E & P, LLC",11504,00,00,Oil,Lakeshore,AC,Austin 350,Arkwright,Medina
0,Tioga,Unknown,00799,00,00,NL,Not Applicable,UN,Shoemaker,UNK,Not Applicable
0,Cattaraugus,Unknown,07460,00,00,Oil,Rice Brook,UN,Allegany State Park 160,Carrollton,Rice Brook
0,Chautauqua,"Empire Energy E & P, LLC",14778,00,00,Oil,Lakeshore,AC,"Baker,JJ 2",Chautauqua,Medina
0,Cattaraugus,"Stephan, Philip D.",63638,00,00,OD,Chipmunk,IN,Pfeiffer 17,Allegany,Bradford & Chipmunk
0,Cattaraugus,Case Brothers Inc.,13927,00,00,OD,Bradford,AC,Moyer 04,Carrollton,Chipmunk
0,Erie,Iroquois Gas Corp.,03654,00,00,Oil,Orchard Park-Hamburg,PA,Lank T and J 1,Hamburg,Medina
0,Erie,"Piall, Theresa",20016,00,00,Oil,Lakeview,AC,Piall 2,Brant,Medina
0,Yates,PPP Future Development Inc.,20570,00,00,Oil,North Penn Yan,AC,Fulkrod A 1,Benton,Queenston
0,Chautauqua,"Curtis & Son Oil, Inc.",06671,00,00,OD,Busti,AC,"Crandall,Lawrence W 7",Busti,Glade
0,Chautauqua,"Empire Energy E & P, LLC",11812,00,00,Oil,Lakeshore,AC,Holmes 1287 1,Pomfret,Medina
0,Genesee,Unknown,04269,00,00,DW,Not Applicable,UM,County Farm,Bethany,Not Applicable
0,Cattaraugus,"East Resources, Inc.",13540,00,00,IW,Bradford,PA,Enterprise Transit St 098,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Cattaraugus,Mark T. Kellner Oil Co.,66606,00,00,OD,Bradford,AC,Kellner t4,Olean,Bradford Third
0,Allegany,Ashe Oil Company,69748,00,00,OD,Richburg,IN,Central 62,Scio,Richburg
0,Cattaraugus,"Empire Energy E & P, LLC",18046,00,00,Oil,Lakeshore,AC,Hebner D 3,Otto,Medina
0,Allegany,Pine Oil Co.,65692,00,00,IW,Richburg,IN,Pine Oil 105,Genesee,Richburg
0,Erie,"Bunch, John",14813,00,00,Oil,Alden-Lancaster,IN,Wilkinson,Lancaster,Medina
0,Cattaraugus,"Armstrong Gas Company, LLC",18793,00,00,OD,Bradford,PA,Enright & Barry 103,Carrollton,Bradford
0,Steuben,Sawyer-Robinson,00323,00,00,DW,Not Applicable,UL,Daltry 1,Prattsburg,Not Applicable
0,Allegany,"Burdick, Jeffery H",66893,00,00,OD,Richburg,AC,Mountain 13,Bolivar,Richburg
0,Allegany,"Stengel, J.C.",04744,00,00,OD,Not Applicable,UN,Hills Estate W3,Amity,Not Applicable
0,Allegany,Moore Producing Co.,69588,00,00,IW,Not Applicable,PA,Curtis Farm 74,Bolivar,Not Applicable
0,Allegany,"Saint John Exploration & Production, Inc.",05539,00,00,OD,Richburg,IN,Trio 501,Bolivar,Richburg
0,Cattaraugus,Thomas A Miller Oil Co.,55281,00,00,OD,Four Mile,PA,Spring 13,Allegany,Bradford
0,Allegany,"Otis Eastern Service, Inc.",60894,00,00,OD,Fulmer Valley,PA,Covel-Perry 4,Andover,Penny
0,Chautauqua,PPP Future Development Inc.,12510,00,00,Oil,Lakeshore,AC,Smallback NY 38,Cherry Creek,Medina
0,Cattaraugus,"Copper Ridge Oil, Inc.",07641,00,00,OD,Five Mile,PA,Schorman 32,Allegany,Bradford
0,Cattaraugus,"Empire Energy E & P, LLC",22448,00,00,Oil,Lakeshore,AC,Hostetler 2,Leon,Medina
0,Chautauqua,PPP Future Development Inc.,18008,00,00,Oil,Lakeshore,AC,Hammond 1,Ellery,Medina
0,Cattaraugus,"Carls, Kevin D",63482,00,00,OD,Four Mile,PA,5256  6 (Carey Hollow),Allegany,Bradford Third
0,Chautauqua,"Stedman Energy, Inc.",18085,00,00,Oil,Lakeshore,AC,Crosby1,Harmony,Medina
0,Chautauqua,Greenridge Oil Company LLC,22477,00,00,OD,Busti,IN,Connelly 3g,Busti,Glade
0,Onondaga,Meridian Gas Co.,02408,00,00,Oil,Baldwinsville,UM,Karrington J 1,Lysander,Not Applicable
0,Allegany,"Schiralli, Bradley L.",63880,00,00,OD,Richburg,PA,Tapp 4,Bolivar,Richburg
0,Chautauqua,"Empire Energy E & P, LLC",11885,00,00,Oil,Lakeshore,AC,Wise 408,Stockton,Medina
0,Oswego,Pulaski Gas & Oil,02549,00,00,Oil,Pulaski,PA,Patrick Charles D 0,Richland,Trenton
0,Chautauqua,"Empire Energy E & P, LLC",14598,00,00,Oil,Lakeshore,AC,Endress 602,Westfield,Medina
0,Wyoming,United States Gypsum Company,20872,00,00,Oil,Danley Corners,AC,"Martinez, D. 1",Bennington,Medina
0,Cattaraugus,Cal Ban Corp.,19218,00,00,OD,Five Mile,NR,Cal Ban 47,Allegany,Bradford
0,Tompkins,Leiderbach-French,00498,00,00,GW,Lansing,UN,Armstrong George 0,Lansing,Oriskany
0,Chautauqua,PPP Future Development Inc.,18735,00,00,Oil,Lakeshore,AC,Lenczyk 1,Ellington,Medina
0,Chautauqua,"Empire Energy E & P, LLC",18566,00,00,Oil,Lakeshore,AC,Erwin 654,Ripley,Medina
0,Chautauqua,"Empire Energy E & P, LLC",18566,00,00,Oil,Lakeshore,AC,Erwin 654,Ripley,Medina
0,Chautauqua,Dougherty F.L. & Nelson,01461,00,00,Oil,Lakeshore,UM,Richter Herbert 2,Sheridan,Medina
0,Chautauqua,Great Lakes Energy Partners,19115,00,00,Oil,Lakeshore,PA,"Tewinkle, E 1",Clymer,Medina
0,Erie,"Stedman Energy, Inc.",16301,00,00,Oil,Brant-Eden,AC,Lindsay 1,Eden,Grimsby
0,Allegany,"Plants and Goodwin, Inc.",62291,00,00,OD,Richburg,PA,Green 101,Bolivar,Richburg
0,Erie,Akron Central School District,18755,00,00,Oil,Akron,AC,Acsd Fee 3,Newstead,Medina
0,Cattaraugus,"McCracken Oil & Gas, LLC",60983,00,00,OD,Chipmunk,AC,B/R 37,Allegany,Bradford & Chipmunk
0,Steuben,"Lewis, Larry, Lyle and Paul",00299,00,00,Oil,Northwest Harrison,IN,Lewis 1,West Union,Oriskany
0,Allegany,"Collins, Dave",65977,00,00,OD,Richburg,IN,Emerson 2,Scio,Richburg
0,Allegany,"Witter, Terry L.",60479,00,00,OD,Richburg,IN,Stillman 33,Bolivar,Richburg
0,Genesee,Alden Batavia Natural Gas Co.,03093,00,00,Oil,Alden-Lancaster,UM,Bennet,Darien,Medina
0,Steuben,Hammondsport Natural Gas,04316,00,00,Oil,Rathbone,UM,Sovocool 1,Rathbone,Rhinestreet
0,Erie,NY Gas & Elec.,03224,00,00,Oil,Alden-Lancaster,UN,Schye Frank,Alden,Not Applicable
0,Allegany,PPP Future Development Inc.,22492,00,00,OD,Fulmer Valley,AC,"McAndrew, R 48-1",Andover,Fulmer Valley
0,Tioga,"Chesapeake Appalachia, LLC",22934,00,00,DH,Not Applicable,PM,Manwaring 624470,Tioga,Not Applicable
0,Washington,Sands-O-Penn,01193,00,00,NL,Not Applicable,UN,Benton George,Hartford,Not Applicable
0,Allegany,Hughes Oil Co.,09587,00,00,OD,Corbin Hill,UN,Amity 5,Amity,Scio
0,Erie,Iroquois Gas Corp.,03646,00,00,Oil,Orchard Park-Hamburg,PA,Schmidt Nellie 1,Hamburg,Medina
0,Chautauqua,PPP Future Development Inc.,17084,00,00,Oil,Lakeshore,AC,Enos/Frankson 1,Kiantone,Medina
0,Allegany,"Burdick, Jeffery H",64613,00,00,OD,Richburg,PA,Murphy 2,Bolivar,Richburg
0,Allegany,T.M. Quaintance Crude Oil Production,65167,00,00,OD,Ford's Brook,PA,Quaker q40,Alma,Richburg
0,Chautauqua,"Chautauqua Energy, Inc.",13708,00,00,Oil,Lakeshore,NR,Chant 1,Sheridan,Medina
0,Cattaraugus,"Empire Energy E & P, LLC",17096,00,00,Oil,Lakeshore,AC,"Hershberger, A 1",Conewango,Medina
0,Cattaraugus,"Nucomer Energy, LLC",17210,00,00,GW,Lakeshore,AC,Countryside Gravel 231,Dayton,Medina
0,Cayuga,Minard Run Oil Company,20520,00,00,Oil,West Auburn,SI,Edmunds 815-1,Fleming,Queenston
0,Chautauqua,"Curtis & Son Oil, Inc.",22601,00,00,OD,Busti,AC,"Crandall, L 39",Busti,Glade
0,Cayuga,Minard Run Oil Company,20468,00,00,Oil,West Auburn,AC,Downing 661-2,Springport,Queenston
0,Chautauqua,"Decker, James K. & Tiffany J.",09190,00,00,OD,Busti,AC,Clair W Potter,Busti,Glade
0,Cattaraugus,"Little, Jay R.",10851,00,00,OD,Chipmunk,AC,Pfouts II  15,Carrollton,Chipmunk
0,Allegany,"Hogan Energy, Inc.",69778,00,00,IW,Clarksville,PA,Nichols 35,Clarksville,Not Applicable
0,Chautauqua,"Empire Energy E & P, LLC",11181,00,00,Oil,Lakeshore,AC,Beardsley J 134,Stockton,Medina
0,Cattaraugus,SWEPI LP,12665,00,00,OD,Bradford,PA,Enterprise Transit St 127,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Erie,Iroquois Gas Corp.,03492,00,00,Oil,West Seneca,PA,Fick Estate 1 IGC-116,Orchard Park,Medina
0,Cattaraugus,"Empire Energy E & P, LLC",17973,00,00,Oil,Lakeshore,AC,"Kurek, E 4",Conewango,Medina
0,Allegany,"Cabot, G.L.",00464,00,00,Oil,Sharon,UL,Empire Rogers 1 525,Alma,Waugh & Porter
0,Allegany,"Simon of Bolivar Enterprises, Inc.",60548,00,00,OD,Richburg,AC,Bliss OL 16,Genesee,Richburg
0,Cattaraugus,"McCracken Oil & Gas, LLC",60980,00,00,IW,Chipmunk,PA,B/R 7b-Inj,Allegany,Bradford & Chipmunk
0,Allegany,Hunt Oil Co.,62699,00,00,IW,Richburg,IN,Bellamy Farm 2w,Alma,Richburg
0,Cattaraugus,BDH Oil Inc.,64935,00,00,OD,Bradford,UL,James Lease 31,Olean,Bradford Third
0,Cattaraugus,"Empire Energy E & P, LLC",21967,00,00,Oil,Lakeshore,AC,"Miller, E 3",Leon,Medina
0,Chautauqua,"Fuel Gas Technology, Inc",21847,00,00,Oil,Lakeshore,AC,Herbert 1,Westfield,Medina
0,Allegany,"Clark, Ernest E. and Richard C.",65573,00,00,IW,Ford's Brook,IN,Hunt 07,Alma,Richburg
0,Chautauqua,"Decker, James K. & Tiffany J.",09515,00,00,OD,Busti,AC,Tellinghuisen 7,Busti,Glade
0,Cattaraugus,"Alma Gas Company, Inc.",14786,00,00,OD,Olean,AC,Ahrens 1,Olean,Bradford & Chipmunk
0,Chautauqua,"Sheffield Energy, LLC",11365,00,00,OD,Busti,NR,Northrup 11,Busti,Glade
0,Chautauqua,"Empire Energy E & P, LLC",12676,00,00,Oil,Lakeshore,AC,Wilkosz 1459,Westfield,Medina
0,Erie,"Fronczek, John & Diane",14336,00,00,Oil,Cowlesville,AC,Kurke 2-1441,Marilla,Grimsby
0,Allegany,"Schiralli, Bradley L.",17698,00,00,OD,Richburg,AC,Progressive-Cawley 1,Bolivar,Richburg
0,Erie,Iroquois Gas Corp.,01706,00,00,Oil,Wales,PA,E. R. Foss 1,Wales,Medina
0,Chautauqua,"Empire Energy E & P, LLC",21959,00,00,Oil,Lakeshore,AC,Caflisch 7050,Clymer,Medina
0,Erie,"McNamara, Joseph G.",20159,00,00,Oil,Orchard Park-Hamburg,IN,McNamara 1,Hamburg,Medina
0,Albany,"Turf Western Ave., Inc.",21007,00,00,TH,Not Applicable,PA,1,Guilderland,NA - Geoexchange
0,Allegany,"O'Connor, James M.",66453,00,00,OD,Richburg,IN,Oconner 5,Genesee,Richburg
0,Allegany,"Plants and Goodwin, Inc.",62287,00,00,OD,Richburg,PA,Green 84,Bolivar,Richburg
0,Cattaraugus,Cal Ban Corp.,05277,00,00,OD,Five Mile,NR,Boser Overton 7,Allegany,Bradford
0,Chautauqua,"Wavepoint Realty NY, LLC",11320,00,00,Oil,Lakeshore,AC,Red Wing 1,Pomfret,Medina
0,Chautauqua,"Wavepoint Realty NY, LLC",11320,00,00,Oil,Lakeshore,AC,Red Wing 1,Pomfret,Medina
0,Cayuga,"OI Auburn, Inc.",15663,00,00,GE,West Auburn,AC,Kirschner H & J 123-2,Aurelius,Queenston
0,Cattaraugus,Mark T. Kellner Oil Co.,09472,00,00,OD,Bradford,AC,Coast 31,Olean,Bradford Third
0,Allegany,"Collins, Dave",66034,00,00,OD,Richburg,AC,Harder 23,Scio,Richburg
0,Cattaraugus,"Empire Energy E & P, LLC",22315,00,00,Oil,Lakeshore,AC,Dustin 1,Leon,Medina
0,Cayuga,Minard Run Oil Company,20617,00,00,Oil,West Auburn,AC,Gould 1062-4,Aurelius,Queenston
0,Chautauqua,PPP Future Development Inc.,19056,00,00,Oil,Lakeshore,IN,Neil 1-A,Harmony,Medina
0,Steuben,Unknown,01284,00,00,NL,Not Applicable,UM,Unnamed,Howard,Not Applicable
0,Allegany,PPP Future Development Inc.,22665,00,00,OD,Fulmer Valley,AC,Lot 47 2a,Andover,Penny & Fulmer Valley
0,Allegany,Moose Oil Co.,62252,00,00,OD,Richburg,UL,McCarthy 6,Bolivar,Richburg
0,Erie,"Stedman Energy, Inc.",17040,00,00,Oil,Brant-Eden,AC,Agle 1,Eden,Medina
0,Steuben,"Yahn & Yahn, Inc.",22878,00,00,OD,Beech Hill-Independence,AC,Edlind 10,West Union,Fulmer Valley
0,Cattaraugus,BDH Oil Inc.,65118,00,00,IW,Chipmunk,PA,Nichols Run Gw-12,Allegany,Chipmunk & Bradford 2nd
0,Allegany,Moose Oil Co.,61103,00,00,OD,Richburg,PA,Tullar 023,Bolivar,Waugh & Porter
0,Cattaraugus,"McCracken, Carl A. III",13146,00,00,OD,Bradford,PA,Sue 05,Carrollton,Chipmunk
0,Erie,"Stedman Energy, Inc.",19009,00,00,Oil,Brant-Eden,AC,Bower 3,Eden,Grimsby
0,Genesee,Le Roy Central School,15992,00,00,Oil,Uhley Corners-Caledonia,AC,Fee 2,Le Roy,Medina
0,Allegany,"Tjhung, Frank T.",69971,00,00,OD,Fulmer Valley,UL,GPS 1136,Wellsville,Not Applicable
0,Allegany,"Plants and Goodwin, Inc.",60860,00,00,OD,Richburg,PA,Green 229,Bolivar,Richburg
0,Cayuga,Minard Run Oil Company,20456,00,00,Oil,West Auburn,AC,Patterson E 1 (644-3),Aurelius,Queenston
0,Steuben,Hammondsport Natural Gas,04324,00,00,Oil,Rathbone,UM,Newcomb,Rathbone,Rhinestreet
0,Cattaraugus,"Copper Ridge Oil, Inc.",05024,00,00,OD,Five Mile,PA,Weis 19,Olean,Bradford
0,Cattaraugus,W. A. Boser Oil,66532,00,00,OD,Chipmunk,AC,Maloney 4,Allegany,Chipmunk
0,Erie,"Cotton Well Drilling Company, Inc.",18463,00,00,Oil,Brant-Eden,AC,Pepper 2,Eden,Medina
0,Chautauqua,"Empire Energy E & P, LLC",11051,00,00,Oil,Lakeshore,AC,Wahl 1186,Portland,Medina
0,Cattaraugus,"Bouquin, Fred C. & Fred L.",67643,00,00,OD,Chipmunk,PA,Smith 4,Allegany,Chipmunk & Bradford 2nd
0,Chenango,"Genegantslet Gas & Oil Co., Inc",04823,00,00,DW,Not Applicable,UM,Collyer 1,Smithville,Not Applicable
0,Allegany,Kerr & Kaufman,00087,00,00,Oil,Allen,UM,Smith J S 1,Allen,Oriskany
0,Chautauqua,PPP Future Development Inc.,18718,00,00,Oil,Lakeshore,AC,"Miktuk, J. 1-Ny-4020",Poland,Medina
0,Chautauqua,Greenridge Oil Company LLC,22311,00,00,Oil,Lakeshore,AC,"Christoff, A 7316",Jamestown,Medina
0,Allegany,J and R Oil Company,63585,00,00,OD,Scio,IN,Harris - 02,Ward,Scio
0,Allegany,J and R Oil Company,63585,00,00,OD,Scio,IN,Harris - 02,Ward,Scio
0,Allegany,Betsy Bug LTD,66329,00,00,OD,Richburg,PA,Bucher 17,Bolivar,Richburg
0,Cayuga,"Stearns, J.W.",01301,00,00,Oil,Not Applicable,PA,Old Auburn 1,Throop,Not Applicable
0,Chautauqua,Greenridge Oil Company LLC,22456,00,00,Oil,Lakeshore,AC,"Restivo, A 1",Hanover,Medina
0,Genesee,"Republic Light, Heat & Power",01758,00,00,Oil,Danley Corners,UM,Chick 3,Darien,Medina
0,Wyoming,PPP Future Development Inc.,14378,00,00,Oil,Silver Lake,AC,"Herman, F 1",Perry,Medina
0,Genesee,"Alden Aurora Gas Company, Inc.",11624,00,00,Oil,Alden-Lancaster,AC,Bososki 1,Darien,Medina
0,Chautauqua,"Empire Energy E & P, LLC",11205,00,00,Oil,Lakeshore,AC,Mikula 152,Stockton,Medina
0,Chautauqua,"Cotton Well Drilling Company, Inc.",16943,00,00,Oil,Lakeshore,AC,Curtis 2,Villenova,Medina
0,Chautauqua,"Cotton Well Drilling Company, Inc.",16943,00,00,Oil,Lakeshore,AC,Curtis 2,Villenova,Medina
0,Cattaraugus,Perkins & Perkins Oil Co. Inc.,67759,00,00,OD,Four Mile,IN,Oak Hill 3,Allegany,Bradford Third
0,Allegany,Moose Oil Co.,62254,00,00,OD,Richburg,PA,Hoover 2,Bolivar,Richburg
0,Chautauqua,PPP Future Development Inc.,18177,00,00,Oil,Lakeshore,AC,Arrance 1,Ellington,Medina
0,Chautauqua,PPP Future Development Inc.,19160,00,00,Oil,Lakeshore,AC,L. Rice 1,Ellington,Medina
0,Allegany,Moose Oil Co.,61013,00,00,OD,Richburg,PA,Myrtle 55,Bolivar,Richburg
0,Chautauqua,"Cotton Well Drilling Company, Inc.",16853,00,00,Oil,Lakeshore,AC,Mezzio 1,Sheridan,Medina
0,Erie,Unknown,01627,00,00,NL,Not Applicable,UM,Richardson,Collins,Not Applicable
0,Madison,Minard Run Oil Company,22803,00,00,Oil,Bradley Brook,AC,Lodor M-99-2,Lebanon,Oneida-Oswego
0,Allegany,Piedmont Resources Corporation,65198,00,00,OD,Ford's Brook,IN,Quaker q81,Alma,Richburg
0,Cattaraugus,SWEPI LP,12670,00,00,IW,Bradford,PA,Enterprise Transit St 045,Allegany,"Chipmunk, Bradford 2nd & 3rd"
